 Experimental ID,Genome assembly,Track type class,Track type,Cell type class,Cell type,Cell type description,"Processing logs of ChIP, ATAC, DNase-seq (# of reads, % mapped, % duplicates, # of peaks [Q < 1E-05])",Title,"Processing logs of Bisulfite-seq (# of reads, % mapped, � coverage, # of hyper MR)",Meta data submitted by authors,,,,
SRX1457746,hg38,TFs and others,RELA,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"64573645,82.2,2.2,3361",GSM1958993: p65-TNF-30-1; Homo sapiens; ChIP-Seq,source_name=Human Embryonic Kidney 293 cells,cell line=HEK293,cell type=Hypotriploid human cell line,chip antibody=anti-RelA/p65,,
SRX1457747,hg38,TFs and others,RELA,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"74647417,85.2,1.4,9085",GSM1958994: p65-TNF-30-2; Homo sapiens; ChIP-Seq,source_name=Human Embryonic Kidney 293 cells,cell line=HEK293,cell type=Hypotriploid human cell line,chip antibody=anti-RelA/p65,,
SRX1457748,hg38,TFs and others,RELA,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"57770677,89.5,1.1,10562",GSM1958995: p65-TNF-60-1; Homo sapiens; ChIP-Seq,source_name=Human Embryonic Kidney 293 cells,cell line=HEK293,cell type=Hypotriploid human cell line,chip antibody=anti-RelA/p65,,
SRX14688734,hg38,TFs and others,TEAD1,Cardiovascular,HUVEC,Primary Tissue=Umbilical Cord|Tissue Diagnosis=Normal,"51197463,95.3,58.7,35466",GSM5989667: TEAD1 ChIPseq; Homo sapiens; ChIP-Seq,source_name=Primary HUVECs from pooled donors at 48h,cell type=HUVECs,genotype=Wild type,"chip antibody=TEAD1, #12292BF",,
SRX147007,hg38,TFs and others,EP300,Lung,IMR-90,Primary Tissue=Lung|Tissue Diagnosis=Normal,"46047155,92.8,46.9,34866",GSM929090: ChIP Seq p300 IMR90; Homo sapiens; ChIP-Seq,source_name=Lung fibroblast,strain=IMR90,"antibody=p300 [Manufacturer: Santa Cruz, Catalog:SC-585XS, Lot#: E2209]",cell type=Lung fibroblast,,
SRX1471688,hg38,TFs and others,NFE2L2,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"13241133,89.7,76.8,243",GSM1968261: NRF2 ChIP SFN treated rep1; Homo sapiens; ChIP-Seq,source_name=BEAS-2B,treatment=SFN,cell line=BEAS-2B,"chip antibody=rabbit monoclonal anti-NRF2 (Epitomics, Clone ID EP1808Y)",,
SRX1471689,hg38,TFs and others,NFE2L2,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"12083179,95.1,54.8,154",GSM1968262: NRF2 ChIP SFN treated rep2; Homo sapiens; ChIP-Seq,source_name=BEAS-2B,treatment=SFN,cell line=BEAS-2B,"chip antibody=rabbit monoclonal anti-NRF2 (Epitomics, Clone ID EP1808Y)",,
SRX1471690,hg38,TFs and others,NFE2L2,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"6094318,74.2,82.2,29",GSM1968263: NRF2 ChIP vehicle treated rep1; Homo sapiens; ChIP-Seq,source_name=BEAS-2B,treatment=vehicle,cell line=BEAS-2B,"chip antibody=rabbit monoclonal anti-NRF2 (Epitomics, Clone ID EP1808Y)",,
SRX1471691,hg38,TFs and others,NFE2L2,Lung,BEAS-2B,Primary Tissue=Lung|Tissue Diagnosis=Normal,"7635220,91.4,87.8,23",GSM1968264: NRF2 ChIP vehicle treated rep2; Homo sapiens; ChIP-Seq,source_name=BEAS-2B,treatment=vehicle,cell line=BEAS-2B,"chip antibody=rabbit monoclonal anti-NRF2 (Epitomics, Clone ID EP1808Y)",,
SRX1477647,hg38,TFs and others,Epitope tags,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"56055554,93.6,30.1,3081",GSM1970150: IP1 NEUROG2 N 0.5DPT; Homo sapiens; ChIP-Seq,source_name=Fetal Lung Fibroblast,"cell line=MRC-5 (ATCC, CCL-171)","antibody=Rabbit anti-HA polyclonal antibody (Abcam, AB9110)",,,
SRX1477648,hg38,TFs and others,Epitope tags,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"56853972,95.4,36.2,3278",GSM1970151: IP2 NEUROG2 N 0.5DPT; Homo sapiens; ChIP-Seq,source_name=Fetal Lung Fibroblast,"cell line=MRC-5 (ATCC, CCL-171)","antibody=Rabbit anti-HA polyclonal antibody (Abcam, AB9110)",,,
SRX1477649,hg38,TFs and others,Epitope tags,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"54228671,93.9,12.5,18708",GSM1970152: IP1 NEUROG2 N 1DPT; Homo sapiens; ChIP-Seq,source_name=Fetal Lung Fibroblast,"cell line=MRC-5 (ATCC, CCL-171)","antibody=Rabbit anti-HA polyclonal antibody (Abcam, AB9110)",,,
SRX1477650,hg38,TFs and others,Epitope tags,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"54045610,96.1,13.1,16560",GSM1970153: IP2 NEUROG2 N 1DPT; Homo sapiens; ChIP-Seq,source_name=Fetal Lung Fibroblast,"cell line=MRC-5 (ATCC, CCL-171)","antibody=Rabbit anti-HA polyclonal antibody (Abcam, AB9110)",,,
SRX1477651,hg38,TFs and others,Epitope tags,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"55636291,96.0,10.1,12635",GSM1970154: IP1 NEUROG2 N 2DPT; Homo sapiens; ChIP-Seq,source_name=Fetal Lung Fibroblast,"cell line=MRC-5 (ATCC, CCL-171)","antibody=Rabbit anti-HA polyclonal antibody (Abcam, AB9110)",,,
SRX1477652,hg38,TFs and others,Epitope tags,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"55665257,95.2,11.6,16719",GSM1970155: IP2 NEUROG2 N 2DPT; Homo sapiens; ChIP-Seq,source_name=Fetal Lung Fibroblast,"cell line=MRC-5 (ATCC, CCL-171)","antibody=Rabbit anti-HA polyclonal antibody (Abcam, AB9110)",,,
SRX1477653,hg38,TFs and others,Epitope tags,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"51973163,93.7,35.0,14419",GSM1970156: IP1 NEUROG2 NFD 0.5DPT; Homo sapiens; ChIP-Seq,source_name=Fetal Lung Fibroblast,"cell line=MRC-5 (ATCC, CCL-171)","antibody=Rabbit anti-HA polyclonal antibody (Abcam, AB9110)",,,
SRX1477654,hg38,TFs and others,Epitope tags,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"50260083,95.8,16.6,14561",GSM1970157: IP2 NEUROG2 NFD 0.5DPT; Homo sapiens; ChIP-Seq,source_name=Fetal Lung Fibroblast,"cell line=MRC-5 (ATCC, CCL-171)","antibody=Rabbit anti-HA polyclonal antibody (Abcam, AB9110)",,,
SRX1477655,hg38,TFs and others,Epitope tags,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"51796921,95.6,10.6,30281",GSM1970158: IP1 NEUROG2 NFD 1DPT; Homo sapiens; ChIP-Seq,source_name=Fetal Lung Fibroblast,"cell line=MRC-5 (ATCC, CCL-171)","antibody=Rabbit anti-HA polyclonal antibody (Abcam, AB9110)",,,
SRX1477656,hg38,TFs and others,Epitope tags,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"54488717,95.5,9.1,25228",GSM1970159: IP2 NEUROG2 NFD 1DPT; Homo sapiens; ChIP-Seq,source_name=Fetal Lung Fibroblast,"cell line=MRC-5 (ATCC, CCL-171)","antibody=Rabbit anti-HA polyclonal antibody (Abcam, AB9110)",,,
SRX1477657,hg38,TFs and others,Epitope tags,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"59996990,95.6,15.4,26215",GSM1970160: IP1 NEUROG2 NFD 2DPT; Homo sapiens; ChIP-Seq,source_name=Fetal Lung Fibroblast,"cell line=MRC-5 (ATCC, CCL-171)","antibody=Rabbit anti-HA polyclonal antibody (Abcam, AB9110)",,,
SRX1477658,hg38,TFs and others,Epitope tags,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"53777534,95.5,7.6,16247",GSM1970161: IP2 NEUROG2 NFD 2DPT; Homo sapiens; ChIP-Seq,source_name=Fetal Lung Fibroblast,"cell line=MRC-5 (ATCC, CCL-171)","antibody=Rabbit anti-HA polyclonal antibody (Abcam, AB9110)",,,
SRX1477660,hg38,TFs and others,Epitope tags,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"43250262,93.9,30.5,20381",GSM1970163: SOX4 1DPT IP1; Homo sapiens; ChIP-Seq,source_name=Fetal Lung Fibroblast,"cell line=MRC-5 (ATCC, CCL-171)","antibody=Rabbit anti-HA polyclonal antibody (Abcam, AB9110)",,,
SRX1477661,hg38,TFs and others,Epitope tags,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"43852084,92.8,29.5,31599",GSM1970164: SOX4 1DPT IP2; Homo sapiens; ChIP-Seq,source_name=Fetal Lung Fibroblast,"cell line=MRC-5 (ATCC, CCL-171)","antibody=Rabbit anti-HA polyclonal antibody (Abcam, AB9110)",,,
SRX1477662,hg38,TFs and others,Epitope tags,Lung,MRC-5,Primary Tissue=Lung|Tissue Diagnosis=Normal,"43492493,93.0,24.3,15485",GSM1970165: SOX4 1DPT IP3; Homo sapiens; ChIP-Seq,source_name=Fetal Lung Fibroblast,"cell line=MRC-5 (ATCC, CCL-171)","antibody=Rabbit anti-HA polyclonal antibody (Abcam, AB9110)",,,
SRX1514916,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"22572908,98.5,6.1,14263",GSM2026739: ChIP-seq of GFP-tagged FEZF1 in HEK293 cells [FEZF1 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=A0PJY2,cell line=HEK293,,,
SRX1514917,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"25218052,98.6,8.0,3767",GSM2026740: ChIP-seq of GFP-tagged ZNF320 in HEK293 cells [ZNF320 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=A2RRD8,cell line=HEK293,,,
SRX1514918,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"18927447,98.5,4.0,2547",GSM2026741: ChIP-seq of GFP-tagged ZNF320 in HEK293 cells [ZNF320 rep2]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=A2RRD8,cell line=HEK293,,,
SRX1514919,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"16974548,96.2,13.3,9249",GSM2026742: ChIP-seq of GFP-tagged ZBTB42 in HEK293 cells [ZBTB42 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=B2RXF5,cell line=HEK293,,,
SRX1514920,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"25788164,98.2,53.5,633",GSM2026743: ChIP-seq of GFP-tagged ZNF263 in HEK293 cells [ZNF263 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=O14978,cell line=HEK293,,,
SRX1514921,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"25510498,97.2,64.5,643",GSM2026744: ChIP-seq of GFP-tagged ZNF264 in HEK293 cells [ZNF264 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=O43296,cell line=HEK293,,,
SRX1514922,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"13964685,97.0,5.1,10294",GSM2026745: ChIP-seq of GFP-tagged ZBTB14 in HEK293 cells [ZBTB14 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=O43829,cell line=HEK293,,,
SRX1514923,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"25068958,98.6,7.1,715",GSM2026746: ChIP-seq of GFP-tagged ZNF354A in HEK293 cells [ZNF354A rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=O60765,cell line=HEK293,,,
SRX1514924,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"26083467,97.9,5.7,2626",GSM2026747: ChIP-seq of GFP-tagged ZNF324 in HEK293 cells [ZNF324 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=O75467,cell line=HEK293,,,
SRX1514925,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"24310998,98.4,5.0,4048",GSM2026748: ChIP-seq of GFP-tagged PRDM1 in HEK293 cells [PRDM1 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=O75626,cell line=HEK293,,,
SRX1514926,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"24689299,98.0,10.6,723",GSM2026749: ChIP-seq of GFP-tagged KLF7 in HEK293 cells [KLF7 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=O75840,cell line=HEK293,,,
SRX1514927,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"20966790,98.3,18.5,577",GSM2026750: ChIP-seq of GFP-tagged SNAI1 in HEK293 cells [SNAI1 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=O95863,cell line=HEK293,,,
SRX1514928,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"18647006,98.1,26.4,455",GSM2026751: ChIP-seq of GFP-tagged SNAI1 in HEK293 cells [SNAI1 rep2]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=O95863,cell line=HEK293,,,
SRX1514929,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"14623442,98.4,4.6,458",GSM2026752: ChIP-seq of GFP-tagged SNAI1 in HEK293 cells [SNAI1 rep3]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=O95863,cell line=HEK293,,,
SRX1514930,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"24895635,98.4,10.8,16161",GSM2026753: ChIP-seq of GFP-tagged SP1 in HEK293 cells [SP1 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P08047,cell line=HEK293,,,
SRX1514931,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"21117558,76.3,2.9,2759",GSM2026754: ChIP-seq of GFP-tagged ZSCAN22 in HEK293 cells [ZSCAN22 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P10073,cell line=HEK293,,,
SRX1514932,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"19507794,97.5,34.5,5768",GSM2026755: ChIP-seq of GFP-tagged ZSCAN22 in HEK293 cells [ZSCAN22 rep3]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P10073,cell line=HEK293,,,
SRX1514933,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"19942869,97.8,17.1,10833",GSM2026756: ChIP-seq of GFP-tagged ZSCAN22 in HEK293 cells [ZSCAN22 rep4]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P10073,cell line=HEK293,,,
SRX1514934,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"23494885,98.8,6.3,36832",GSM2026757: ChIP-seq of GFP-tagged ZBTB48 in HEK293 cells [ZBTB48 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P10074,cell line=HEK293,,,
SRX1514935,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"19993889,98.4,4.4,700",GSM2026758: ChIP-seq of GFP-tagged GLI4 in HEK293 cells [GLI4 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P10075,cell line=HEK293,,,
SRX1514936,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"16686245,98.6,6.1,33082",GSM2026759: ChIP-seq of GFP-tagged EGR2 in HEK293 cells [EGR2 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P11161,cell line=HEK293,,,
SRX1514937,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"16804113,97.5,19.0,29465",GSM2026760: ChIP-seq of GFP-tagged EGR2 in HEK293 cells [EGR2 rep2]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P11161,cell line=HEK293,,,
SRX1514938,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"27619200,98.8,11.1,14966",GSM2026761: ChIP-seq of GFP-tagged ZNF35 in HEK293 cells [ZNF35 rep2]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P13682,cell line=HEK293,,,
SRX1514939,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"19769512,98.3,2.4,674",GSM2026762: ChIP-seq of GFP-tagged ZNF250 in HEK293 cells [ZNF250 rep2]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P15622,cell line=HEK293,,,
SRX1514940,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"19112193,98.6,4.8,793",GSM2026763: ChIP-seq of GFP-tagged ZNF708 in HEK293 cells [ZNF708 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P17019,cell line=HEK293,,,
SRX1514941,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"21636528,97.3,5.0,3272",GSM2026764: ChIP-seq of GFP-tagged ZNF18 in HEK293 cells [ZNF18 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P17022,cell line=HEK293,,,
SRX1514942,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"8282290,98.1,66.5,273",GSM2026765: ChIP-seq of GFP-tagged ZNF22 in HEK293 cells [ZNF22 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P17026,cell line=HEK293,,,
SRX1514943,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"13280866,98.5,3.8,428",GSM2026766: ChIP-seq of GFP-tagged ZNF22 in HEK293 cells [ZNF22 rep2]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P17026,cell line=HEK293,,,
SRX1514944,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"18532698,98.6,2.9,15783",GSM2026767: ChIP-seq of GFP-tagged ZNF22 in HEK293 cells [ZNF22 rep3]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P17026,cell line=HEK293,,,
SRX1514945,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"24704291,97.4,3.8,733",GSM2026768: ChIP-seq of GFP-tagged ZNF22 in HEK293 cells [ZNF22 rep4]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P17026,cell line=HEK293,,,
SRX1514946,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"16594870,93.5,16.2,434",GSM2026769: ChIP-seq of GFP-tagged ZNF22 in HEK293 cells [ZNF22 rep5]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P17026,cell line=HEK293,,,
SRX1514947,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"23711416,94.3,10.7,802",GSM2026770: ChIP-seq of GFP-tagged ZNF37A in HEK293 cells [ZNF37A rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P17032,cell line=HEK293,,,
SRX1514948,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"23849934,98.1,3.8,824",GSM2026771: ChIP-seq of GFP-tagged ZNF30 in HEK293 cells [ZNF30 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P17039,cell line=HEK293,,,
SRX1514949,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"25415038,97.9,6.0,788",GSM2026772: ChIP-seq of GFP-tagged ZNF30 in HEK293 cells [ZNF30 rep2]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P17039,cell line=HEK293,,,
SRX1514950,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"20861958,93.5,11.2,695",GSM2026773: ChIP-seq of GFP-tagged ZNF30 in HEK293 cells [ZNF30 rep3]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P17039,cell line=HEK293,,,
SRX1514951,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"22126452,98.0,20.8,2324",GSM2026774: ChIP-seq of GFP-tagged ZNF8 in HEK293 cells [ZNF8 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P17098,cell line=HEK293,,,
SRX1514952,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"18279415,77.5,3.3,1396",GSM2026775: ChIP-seq of GFP-tagged YY1 in HEK293 cells [YY1 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P25490,cell line=HEK293,,,
SRX1514953,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"34900204,81.3,16.5,58621",GSM2026776: ChIP-seq of GFP-tagged YY1 in HEK293 cells [YY1 rep2]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P25490,cell line=HEK293,,,
SRX1514954,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"20719964,98.7,14.4,7635",GSM2026777: ChIP-seq of GFP-tagged YY1 in HEK293 cells [YY1 rep4]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P25490,cell line=HEK293,,,
SRX1514955,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"17227838,98.2,2.8,644",GSM2026778: ChIP-seq of GFP-tagged MZF1 in HEK293 cells [MZF1 rep2]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P28698,cell line=HEK293,,,
SRX1514956,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"23235127,98.8,5.9,3321",GSM2026779: ChIP-seq of GFP-tagged ZNF76 in HEK293 cells [ZNF76 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P36508,cell line=HEK293,,,
SRX1514957,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"19245904,91.4,2.5,986",GSM2026780: ChIP-seq of GFP-tagged CTCF in HEK293 cells [CTCF rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P49711,cell line=HEK293,,,
SRX1514958,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"18558150,86.1,3.5,52100",GSM2026781: ChIP-seq of GFP-tagged CTCF in HEK293 cells [CTCF rep2]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P49711,cell line=HEK293,,,
SRX1514959,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"13638882,98.8,5.3,18646",GSM2026782: ChIP-seq of GFP-tagged CTCF in HEK293 cells [CTCF rep3]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P49711,cell line=HEK293,,,
SRX1514960,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"25054073,96.9,19.0,3412",GSM2026783: ChIP-seq of GFP-tagged CTCF in HEK293 cells [CTCF rep4]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P49711,cell line=HEK293,,,
SRX1514961,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"25981803,98.6,5.7,424",GSM2026784: ChIP-seq of GFP-tagged CTCF in HEK293 cells [CTCF rep5]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P49711,cell line=HEK293,,,
SRX1514962,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"84177106,99.0,4.8,25851",GSM2026785: ChIP-seq of GFP-tagged CTCF in HEK293 cells [CTCF rep6]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P49711,cell line=HEK293,,,
SRX1514963,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"85403914,98.9,3.5,27867",GSM2026786: ChIP-seq of GFP-tagged CTCF in HEK293 cells [CTCF rep7]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P49711,cell line=HEK293,,,
SRX1514964,hg38,TFs and others,GFP,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"13879370,96.6,1.7,1244",GSM2026787: ChIP-seq of GFP-tagged ZNF41 in HEK293 cells [ZNF41 rep1]; Homo sapiens; ChIP-Seq,source_name=HEK293 cells expressing GFP-tagged protein,uniprotkb id=P51814,cell line=HEK293,,,
